ip,timestamp,method,endpoint,status,bytes
isdn6-34.dnai.com,1995-07-01 04:03:31,GET,/shuttle/missions/sts-68/mission-sts-68.html,200,49087
midcom.com,1995-07-01 04:03:33,GET,/history/apollo/apollo-13/apollo-13-patch-small.gif,200,12859
ix-or10-06.ix.netcom.com,1995-07-01 04:03:34,GET,/software/winvn/readme.txt,200,5736
isdn6-34.dnai.com,1995-07-01 04:03:36,GET,/shuttle/resources/orbiters/endeavour.html,200,6168
dd11-054.compuserve.com,1995-07-01 04:03:36,GET,/shuttle/missions/missions.html,200,8677
isdn6-34.dnai.com,1995-07-01 04:03:36,GET,/shuttle/resources/orbiters/endeavour-logo.gif,200,5052
isdn6-34.dnai.com,1995-07-01 04:03:37,GET,/shuttle/resources/orbiters/orbiters-logo.gif,200,1932
isdn6-34.dnai.com,1995-07-01 04:03:37,GET,/images/ksclogosmall.gif,200,3635
teleman.pr.mcs.net,1995-07-01 04:03:38,GET,/msfc/astro_home3.gif,200,73728
isdn6-34.dnai.com,1995-07-01 04:03:39,GET,/shuttle/missions/sts-68/sts-68-patch-small.gif,200,17459
slip1.yab.com,1995-07-01 04:03:40,GET,/images/landing-747.gif,200,110875
isdn6-34.dnai.com,1995-07-01 04:03:40,GET,/shuttle/missions/sts-68/mission-sts-68.html,200,49087
bos1d.delphi.com,1995-07-01 04:03:43,GET,/history/apollo/apollo-13/apollo-13.html,200,18114
205.189.154.54,1995-07-01 04:03:45,GET,"/cgi-bin/imagemap/countdown?108,176",302,110
charger.execpc.com,1995-07-01 04:03:47,GET,/history/history.html,200,1502
ix-ftw-tx1-24.ix.netcom.com,1995-07-01 04:03:48,GET,/shuttle/countdown/countdown.html,200,3985
midcom.com,1995-07-01 04:03:48,GET,/images/ksclogosmall.gif,200,3635
midcom.com,1995-07-01 04:03:49,GET,/history/apollo/images/footprint-logo.gif,200,4209
isdn6-34.dnai.com,1995-07-01 04:03:51,GET,/facilities/lc39a.html,200,7008
remote27.compusmart.ab.ca,1995-07-01 04:03:51,GET,/shuttle/missions/sts-71/images/KSC-95EC-0868.jpg,200,61848
205.189.154.54,1995-07-01 04:03:51,GET,/shuttle/missions/sts-71/images/images.html,200,7634
isdn6-34.dnai.com,1995-07-01 04:03:51,GET,/images/lc39a-logo.gif,200,13116
port2.electrotex.com,1995-07-01 04:03:51,GET,/shuttle/countdown/video/livevideo.jpeg,200,44467
isdn6-34.dnai.com,1995-07-01 04:03:52,GET,/images/kscmap-tiny.gif,200,2537
isdn6-34.dnai.com,1995-07-01 04:03:52,GET,/images/ksclogosmall.gif,200,3635
ix-ftw-tx1-24.ix.netcom.com,1995-07-01 04:03:52,GET,/shuttle/countdown/count.gif,200,40310
lmsmith.tezcat.com,1995-07-01 04:03:52,GET,/shuttle/missions/sts-71/images/index71.gif,200,73728
charger.execpc.com,1995-07-01 04:03:53,GET,/history/apollo/images/apollo-small.gif,200,9630
teleman.pr.mcs.net,1995-07-01 04:03:56,GET,/shuttle/missions/missions.html,304,0
teleman.pr.mcs.net,1995-07-01 04:03:57,GET,/images/launchmedium.gif,304,0
teleman.pr.mcs.net,1995-07-01 04:03:57,GET,/images/NASA-logosmall.gif,304,0
teleman.pr.mcs.net,1995-07-01 04:03:57,GET,/images/KSC-logosmall.gif,304,0
129.188.154.200,1995-07-01 04:03:58,GET,/,200,7074
www-a1.proxy.aol.com,1995-07-01 04:04:01,GET,"/cgi-bin/imagemap/countdown?99,113",302,111
129.188.154.200,1995-07-01 04:04:01,GET,/images/ksclogo-medium.gif,200,5866
link097.txdirect.net,1995-07-01 04:04:02,GET,/images/shuttle-patch-small.gif,200,4179
smyth-pc.moorecap.com,1995-07-01 04:04:03,GET,/history/apollo/images/footprint-small.gif,200,18149
gayle-gaston.tenet.edu,1995-07-01 04:04:04,GET,/shuttle/missions/sts-71/images/KSC-95EC-0915.gif,200,29634
129.188.154.200,1995-07-01 04:04:05,GET,/images/MOSAIC-logosmall.gif,200,363
129.188.154.200,1995-07-01 04:04:05,GET,/images/USA-logosmall.gif,200,234
129.188.154.200,1995-07-01 04:04:05,GET,/images/WORLD-logosmall.gif,200,669
isdn6-34.dnai.com,1995-07-01 04:04:10,GET,/images/dual-pad.gif,200,141308
www-a1.proxy.aol.com,1995-07-01 04:04:10,GET,/shuttle/missions/sts-71/mission-sts-71.html,200,12040
charger.execpc.com,1995-07-01 04:04:12,GET,/history/apollo/apollo.html,200,3258
smyth-pc.moorecap.com,1995-07-01 04:04:13,GET,/history/apollo/images/footprint-small.gif,200,18149
205.212.115.106,1995-07-01 04:04:13,GET,/shuttle/missions/sts-71/images/index71.gif,200,235862
charger.execpc.com,1995-07-01 04:04:14,GET,/history/apollo/images/footprint-small.gif,200,18149
charger.execpc.com,1995-07-01 04:04:15,GET,/history/apollo/images/apollo-logo.gif,200,3047
unicomp6.unicomp.net,1995-07-01 04:04:16,GET,/ksc.html,200,7074
205.189.154.54,1995-07-01 04:04:17,GET,/shuttle/missions/sts-71/images/KSC-95EC-0747.gif,200,32187
dd11-054.compuserve.com,1995-07-01 04:04:17,GET,/images/launchmedium.gif,200,11853
news.ti.com,1995-07-01 04:04:18,GET,/ksc.html,200,7074
ix-ftw-tx1-24.ix.netcom.com,1995-07-01 04:04:18,GET,/images/NASA-logosmall.gif,200,786
unicomp6.unicomp.net,1995-07-01 04:04:19,GET,/images/ksclogo-medium.gif,200,5866
charger.execpc.com,1995-07-01 04:04:20,GET,/images/ksclogosmall.gif,200,3635
news.ti.com,1995-07-01 04:04:21,GET,/images/ksclogo-medium.gif,200,5866
ix-ftw-tx1-24.ix.netcom.com,1995-07-01 04:04:22,GET,/images/KSC-logosmall.gif,200,1204
teleman.pr.mcs.net,1995-07-01 04:04:23,GET,/shuttle/missions/sts-67/mission-sts-67.html,200,21408
129.94.144.152,1995-07-01 04:04:25,GET,/shuttle/technology/sts-newsref/stsref-toc.html,200,84907
link097.txdirect.net,1995-07-01 04:04:26,GET,/shuttle/technology/sts-newsref/stsref-toc.html,200,84907
unicomp6.unicomp.net,1995-07-01 04:04:26,GET,/images/USA-logosmall.gif,200,234
unicomp6.unicomp.net,1995-07-01 04:04:26,GET,/images/WORLD-logosmall.gif,200,669
onyx.southwind.net,1995-07-01 04:04:27,GET,/shuttle/technology/sts-newsref/centers.html,200,71024
ix-war-mi1-20.ix.netcom.com,1995-07-01 04:04:27,GET,/shuttle/missions/sts-69/mission-sts-69.html,200,4325
unicomp6.unicomp.net,1995-07-01 04:04:27,GET,/images/MOSAIC-logosmall.gif,200,363
129.188.154.200,1995-07-01 04:04:27,GET,/shuttle/missions/sts-71/mission-sts-71.html,200,12040
netport-27.iu.net,1995-07-01 04:04:27,GET,/images/construct.gif,200,1414
slip1.yab.com,1995-07-01 04:04:28,GET,/history/history.html,200,1502
ix-war-mi1-20.ix.netcom.com,1995-07-01 04:04:28,GET,/shuttle/missions/sts-69/sts-69-patch-small.gif,200,8083
teleman.pr.mcs.net,1995-07-01 04:04:30,GET,/shuttle/missions/sts-67/sts-67-patch-small.gif,200,17083
129.188.154.200,1995-07-01 04:04:30,GET,/shuttle/missions/sts-71/sts-71-patch-small.gif,200,12054
savvy1.savvy.com,1995-07-01 04:04:30,GET,/shuttle/missions/missions.html,200,8677
gater3.sematech.org,1995-07-01 04:04:31,GET,"/cgi-bin/imagemap/countdown?370,274",302,68
teleman.pr.mcs.net,1995-07-01 04:04:31,GET,/images/launch-logo.gif,304,0
slip1.yab.com,1995-07-01 04:04:32,GET,/history/rocket-history.txt,200,26990
ppp-nyc-3-1.ios.com,1995-07-01 04:04:33,GET,/shuttle/missions/sts-71/movies/sts-71-hatch-hand-group.mpg,200,49152
netport-27.iu.net,1995-07-01 04:04:34,GET,/images/KSC-logosmall.gif,200,1204
savvy1.savvy.com,1995-07-01 04:04:34,GET,/images/launchmedium.gif,200,11853
199.33.32.50,1995-07-01 04:04:36,GET,/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg,200,130724
129.188.154.200,1995-07-01 04:04:37,GET,/images/launch-logo.gif,200,1713
pme607.onramp.awinc.com,1995-07-01 04:04:38,GET,/shuttle/missions/sts-71/mission-sts-71.html,200,12040
bart-slip1.llnl.gov,1995-07-01 04:04:40,GET,/shuttle/technology/sts-newsref/stsref-toc.html,200,84907
ad03-031.compuserve.com,1995-07-01 04:04:40,GET,/facilities/vab.html,200,4045
